movie_title,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
A Man Called Otto,John Serba,FALSE,Decider,rotten,,"Feb 28, 2023",A Man Called Otto is mechanically engineered for maximum lachrymosal extraction.
A Man Called Otto,Amber Wilkinson,FALSE,Eye for Film,fresh, 3/5 ,"Feb 26, 2023","Tom Hanks is trying to channel his inner Clint Eastwood for this US adaptation of Fredrik Bachman’s Swedish best-seller - the problem is, he simply isn’t grouchy enough"
Champions,Chris Joyce,FALSE,Movies and Munchies (YouTube),fresh, 3.5/5 ,"Mar 24, 2023","Predictability aside, everything about this movie makes it a feel-good winner except for the runtime and that really did impact the enjoyment."
Champions,Charles Koplinski,FALSE,Reel Talk with Chuck and Pam,fresh, 3/4 ,"Mar 24, 2023",I truly don’t think it’s Farrelly’s intention to offend. I think he genuinely wants to undercut the notion that those suffering from this condition are capable of experiencing a life as full as those who are not similarly afflicted.
Champions,Jay Horton,FALSE,Willamette Week,rotten, 2/4 ,"Mar 23, 2023","[It's] too foulmouthed for family viewing, too saccharine for the Farrellys’ usual fan base, and too shallow to let the measured relationship between Harrelson and team chauffeur Kaitlin Olson take center stage."
Champions,Christian Toto,FALSE,HollywoodInToto.com,fresh, 3/4 ,"Mar 22, 2023","Woody Harrelson leads scene-stealing ensemble in wry, winning comedy."
Champions,Jackie K. Cooper,FALSE,jackiekcooper.com,fresh, 8/10 ,"Mar 21, 2023","""Champions"" gives me faith that Hollywood still knows how to make good, entertaining movies."
The Banshees of Inisherin,James Kendrick,FALSE,Q Network Film Desk,fresh, 3.5/4 ,"Mar 27, 2023","a delicate balancing act, and McDonagh pulls it off with astonishing grace, punctuating the film’s humanity with heavy doses of ambiguity that keep you thinking and wrestling with the characters long after the credits have rolled"
The Banshees of Inisherin,Milana Vujkov,FALSE,Lola On Film,fresh, 5/5 ,"Mar 18, 2023","Captures the fragile state of being a human in one grand swoop of wit and weltschmerz — the film’s contours elegantly morose, its humour dark and bitter-sweet, its inhabitants erratic and gloriously eloquent, its landscape a mystery onto itself."
The Banshees of Inisherin,A.S. Hamrah,FALSE,The Baffler,fresh,,"Mar 16, 2023","Keoghan, one of the strangest actors working today, jerks his performances wildly between “this guy is the greatest actor I have ever seen” and “this kid is getting a little too weird.”"
The Banshees of Inisherin,Matt Brunson,FALSE,Film Frenzy,fresh, 3.5/4 ,"Mar 13, 2023",There’s no shortage of meaning or metaphor in this robust tale featuring the year’s best ensemble cast.
The Banshees of Inisherin,Stephen A. Russell,FALSE,ScreenHub,fresh,,"Mar 8, 2023","The rat-a-tat of rifles and thunderous clatter of cannons are but a momentary distraction, piercing the peaceful quiet of the fictional Island on which he lives in playwright and filmmaker Martin McDonagh’s dark parable The Banshees of Inisherin."
Nope,KT Mahe,FALSE,For Your Reference Podcast,fresh, 5/5 ,"Mar 23, 2023",There's so much considered detail and nuance that is weaved into these fantastical themes which is bolstered by a lot of the characters taking control of their own narrative.
Nope,Oti,FALSE,For Your Reference Podcast,fresh, 5/5 ,"Mar 23, 2023",I've never felt that before. It was a completely new feeling especially in the sci-fi horror genre where you just don't get a lot of Black happiness and Black people and Black camaraderie.
Nope,John Serba,FALSE,Decider,fresh,,"Mar 22, 2023",Yup.
Nope,Robert Koehler,FALSE,Cinema Scope,fresh,,"Feb 16, 2023",This final confrontation is truly a spectacle...
Nope,James Wegg,FALSE,JWR,fresh, 4/5 ,"Jan 30, 2023",Don't look up
Puss in Boots: The Last Wish,Douglas Davidson,FALSE,Elements of Madness,fresh, 4/5 ,"Mar 5, 2023","Riding the line between the silliness of the ""Shrek"" Universe from which it came and something far more Grimm, ""Puss in Boots: The Last Wish"" explores the value of appreciating where you are and what you have ..."
Puss in Boots: The Last Wish,Matt Brunson,FALSE,Film Frenzy,fresh, 3/4 ,"Mar 5, 2023",It does a fine job of balancing its knockabout humor with a surprisingly somber tale of how the specter of death can limit one’s ability to fully embrace and enjoy life.
Puss in Boots: The Last Wish,Jack Bottomley,FALSE,Starburst,fresh, 5/5 ,"Mar 1, 2023","The Last Wish is a spellbinding, funny, and gorgeous piece of animated storytelling that restores this franchise to past glory. The real cat in the hat is back, and his boots are very much made for walking!"
Puss in Boots: The Last Wish,Annie Banks,FALSE,Chuck Load of Comics,fresh, 8.5/10 ,"Feb 22, 2023",Puss in Boots: The Last Wish takes necessary risks without losing to the assumption that all sequels lose their luster.
Puss in Boots: The Last Wish,Matt Hudson,FALSE,What I Watched Tonight,fresh, 9/10 ,"Feb 20, 2023","Emotional and surprisingly excellent, Puss in Boots: The Last Wish is one of Dreamworks' best and a real crowd-pleaser."
Missing,Aaron White,FALSE,Feelin' Film Podcast,fresh, 3.5/5 ,"Mar 27, 2023","Truly unpredictable with multiple gasp-worthy twists, this masterfully edited story told entirely through technology screens is an anxiety-inducing thriller that despite going off the rails a bit at the end is exciting and engaging form start to finish."
Missing,Kristen Maldonado,FALSE,Pop Culture Planet,fresh,,"Mar 25, 2023","Missing has to be the craziest movie I’ve seen this year! With twist after twist, Missing will have you screaming at your screen as you try to figure out whodunnit."
Missing,Sameen Amer,FALSE,The News International (Pakistan),fresh, 3/5 ,"Mar 24, 2023",Missing is a taut techno-thriller that keeps you riveted with its twisty proceedings.
Missing,Brian Eggert,FALSE,Deep Focus Review,rotten, 2/4 ,"Mar 21, 2023","An offshoot of found footage, the setup feels less spontaneous and more manufactured by comparison, leaving the viewer to feel pushed and pulled through the ensuing suspense by the editing, sometimes in clumsy ways."
Missing,Eric Webb,FALSE,Austin American-Statesman,fresh, B+ ,"Mar 10, 2023","When it’s not registering on the Gasp-o-Meter, Missing finds just enough nuance between its browser tabs."
Triangle of Sadness,A.S. Hamrah,FALSE,The Baffler,fresh,,"Mar 16, 2023",This year a good Scandinavian director shows many things I have observed in real life but never once seen depicted on screen and he gets castigated for it.
Triangle of Sadness,Antonio G. Spíndola,FALSE,Cine Premiere,rotten, 3/5 ,"Mar 13, 2023","Despite the spiciness of its ingredients, this feature film becomes the equivalent of a frustrating three-course meal that gradually disenchants the palate. [Full review in Spanish]"
Triangle of Sadness,Milana Vujkov,FALSE,Lola On Film,rotten, 2/5 ,"Mar 11, 2023","There is a point where all good intentions in a storyline turn to dust, and that is when the said narrative stops respecting its characters, however vile they are."
Triangle of Sadness,Yasser Medina,FALSE,Cinemaficionados,rotten, 5/10 ,"Mar 9, 2023",Its satire sinks into a cocktail of stereotypical and unfunny characters that only work on the surface to build an basic social text about the human condition and the class divergence implanted by the verticality of capitalism. [Full review in Spanish]
Triangle of Sadness,Robert W. Butler,FALSE,Butler's Cinema Scene,fresh, B+ ,"Mar 9, 2023",Malevolent pleasures [are] exhibited...
Murder Mystery 2,Fred Topel,FALSE,United Press International,fresh,,"Mar 26, 2023","Murder Mystery is now Adam Sandler's funniest franchise since he never revisited Billy Madison, Happy Gilmore or the Zohan."
Operation Fortune: Ruse de guerre,James Kendrick,FALSE,Q Network Film Desk,rotten, 2.5/4 ,"Mar 27, 2023","Were it not for the presence of Hugh Grant, Guy Ritchie’s awkwardly titled international crime thriller would be easily forgotten."
Operation Fortune: Ruse de guerre,Michael Calleri,FALSE,Niagara Gazette,fresh,,"Mar 26, 2023","""Operation Fortune” hits the mark. The cast is very good, with extra points to Aubrey Plaza, who is especially appealing in a tongue-in-cheek role that could have been tedious, but happily, is breezy and entertaining."
Operation Fortune: Ruse de guerre,John Serba,FALSE,Decider,rotten,,"Mar 22, 2023","Operation Fortune: Ruse de Guerre offers modest escapist pleasures – a bit of witty banter, a glitzy car chase and an oleaginous Hugh Grant performance – but little more than that."
Operation Fortune: Ruse de guerre,Stephen Silver,FALSE,Splice Today,fresh, 4/5 ,"Mar 19, 2023","The title may be unwieldy, its plot inconsequential, and its behind-the-scenes backstory bizarre, this is an entertaining action romp."
Operation Fortune: Ruse de guerre,Andy Klein,FALSE,FilmWeek (KPCC - NPR Los Angeles),fresh,,"Mar 15, 2023","It's pretty well done... It does deliver on what it does, and it's got really good light touches."
Babylon,Matt Brunson,FALSE,Film Frenzy,fresh, 2.5/4 ,"Mar 26, 2023",A fascinating mess.
Babylon,Joanne Laurier,FALSE,World Socialist Web Site,rotten,,"Mar 24, 2023","Babylon is ambitious, and costly—and almost a complete shambles. It is badly constructed and unconvincingly done, providing little or no insight into the film industry, culture in general or American society."
Babylon,Douglas Davidson,FALSE,Elements of Madness,fresh, 3.5/5 ,"Mar 20, 2023","For all that is great and grand in its use of history, the film is long and you can feel it, a problem when making an epic."
Babylon,Stacey Yvonne,FALSE,The Geekiary,rotten, 2.5/5 ,"Mar 17, 2023","As it stands, after two movies that started the “White People Freaking Out About Jazz” genre, I don’t have a lot of faith in Chazelle telling these stories and Babylon has shown me that my fears were founded."
Babylon,A.S. Hamrah,FALSE,The Baffler,rotten,,"Mar 16, 2023",Babylon’s sound-recording scene replicates Singin’ in the Rain’s as something dire and unfunny and way too long.
M3GAN,Sean Chandler,FALSE,Sean Chandler Talks About,fresh, B+ ,"Mar 24, 2023","A surprisingly effective and clever killer doll film. M3GAN instantly leaves her mark and solidifies herself as a new horror icon. But the real surprise is all the extra layers and ideas about technology, grief, and taking the easy way out."
M3GAN,Federico Furzan,FALSE,Movie-Blogger.com,fresh, 3.5/5 ,"Mar 23, 2023","M3GAN is good at keeping us hooked to a film that we know how it will turn out. It never plays safe when putting children in danger and body count is terrifyingly high. This is one silly, but highly effective film."
M3GAN,Robert Horton,FALSE,The Scarecrow,fresh, 2.5/4 ,"Mar 10, 2023","Pleasing in its familiar, unsurprising lines, which are basically those of a Twilight Zone episode. I am not complaining."
M3GAN,Tom Shone,FALSE,Sunday Times (UK),fresh, 3/5 ,"Mar 2, 2023","After quite a long build-up, the film doesn’t provide as much killer-doll action as we deserve, but the scenes we get are highly entertaining."
M3GAN,Paul Mount,FALSE,Starburst,fresh, 4/5 ,"Mar 1, 2023","... Whilst M3gan is a bit too broad to serve as Black Mirror-style ‘cautionary’ tale, its strength lies in the fact that Megan is a machine created by humanity rather than animated by some supernatural entity or other."
The Menu,James Kendrick,FALSE,Q Network Film Desk,fresh, 3/4 ,"Mar 27, 2023",stylish and engrossing and sadistically enjoyable
The Menu,Matt Brunson,FALSE,Film Frenzy,fresh, 3.5/4 ,"Mar 13, 2023",The art of the meal and the consumer’s craving for more more s’more are just two of the topics explored in a far tastier “eat the rich” offering than the overcooked Triangle of Sadness.
The Menu,Filipe Freitas,FALSE,Always Good Movies,fresh, 4/5 ,"Mar 3, 2023",Never the thought and vision of a cheeseburger made such an impression on me. And by this time your appetite should be big for both the food and the movie.
The Menu,Audra Schroeder,FALSE,The Daily Dot,fresh, 3.5/5 ,"Feb 20, 2023","The story, penned by Will Tracy and Seth Reiss, is expertly paced, punctuated by gorgeous title cards announcing the dishes."
The Menu,Bob Chipman,FALSE,Moviebob Central,rotten, 3/10 ,"Feb 15, 2023","Bad pretentious art that thinks it's critiquing bad pretentious art, told exclusively through the medium of food metaphors? ...yay."
Infinity Pool,Victoria Luxford,FALSE,City AM,fresh, 4/5 ,"Mar 29, 2023","While it’s too extreme for blockbuster audiences, Infinity Pool will satisfy those with a taste for the unusual. It also shows Cronenberg is more than a clone of his father."
Infinity Pool,Rich Cline,FALSE,Shadows on the Wall,fresh, 3/5 ,"Mar 28, 2023","Brandon Cronenberg is more focussed on visually arresting imagery than mining the material for something unnervingly resonant. That said, there's a terrific sense of menace."
Infinity Pool,Dulcie Pearce,FALSE,The Sun (UK),fresh, 3/5 ,"Mar 27, 2023","Things all get a bit Clockwork Orange, with the drugged-up gang putting on terrifying masks and breaking into a house to cause horror and pain... Sadly, the movie loses direction, making it more gory than story."
Infinity Pool,Tom Shone,FALSE,Sunday Times (UK),fresh, 3/5 ,"Mar 27, 2023","With its ominous soundtrack and atmosphere of escalating dread, the movie unfolds with the uncanniness of a dream, but something is missing at its core: Cronenberg’s gaze has the glassy imperturbability of his father, David, tricked out..."
Infinity Pool,Kevin Maher,FALSE,Times (UK),rotten, 1/5 ,"Mar 27, 2023","Brandon Cronenberg, son of David, continues to rehash his father’s themes and preoccupations with this wearisome grand guignol body horror about the primal power of, yep, sex, death and reproduction."
Shazam!,Kate Boyle,FALSE,InSession Film,fresh, B ,"Mar 8, 2023","Overall, Shazam! is a fun movie with mature themes sprinkled in. It embraces the camp and humor this character needs to succeed on the big screen, even poking fun at previous DC heroes and films."
Shazam!,Jonathan Garcia,FALSE,Dynamic Duel Podcast,fresh, 4.5/5 ,"Feb 3, 2023","A really warm-hearted film, and I think it works so well because it's all about wish-fulfillment. ... It brought out so much nostalgia and joy."
Shazam!,Wesley Lovell,FALSE,Cinema Sight,fresh, 3/4 ,"Nov 23, 2022","While many of the plot turns are telegraphed in advance and Strong as the moustache-twirling villain is almost laughably over the top, Shazam! is a blissfully simplistic superhero yarn"
Shazam!,Keith Garlington,FALSE,Keith & the Movies,fresh, 3/5 ,"Aug 25, 2022","There is no denying that “Shazam!” has charm and heart. You also can’t help but enjoy the fun and energetic Zachary Levi, padded suit and all. Yet I can’t shake the feeling that the original Captain Marvel (sorry MCU, it’s true) deserved a better movie."
Shazam!,M.N. Miller,FALSE,Ready Steady Cut,fresh, 3.5/5 ,"Aug 18, 2022",Shazam! is a thoroughly entertaining comic book film that never forgets the fun.
All Quiet on the Western Front,Aaron Neuwirth,FALSE,Why So Blu,fresh, 8/10 ,"Mar 28, 2023","It’s a strong effort that serves as a modern companion instead of a remake of the Best Picture-winning film from 1930. And yes, for all the extraordinary work that made this film look spectacular, it is pretty brutal and knows how to leave an impact."
All Quiet on the Western Front,A.S. Hamrah,FALSE,The Baffler,rotten,,"Mar 16, 2023","What has happened to the German cinema? As an anti-war war movie, this tedious, inert remake has no dramatic force."
All Quiet on the Western Front,Jonita Davis,FALSE,The Black Cape (Medium),fresh, 3/5 ,"Mar 14, 2023","The war was brutal and torture, and it was not kind to the boys who desperately wanted to prove themselves to be men. Thus, it’s not wise to try and view this 'All Quiet on the Western Front' from a lens that romanticizes the people represented."
All Quiet on the Western Front,Carla Hay,FALSE,Culture Mix,fresh,,"Mar 12, 2023","Told from a German perspective, this version of All Quiet on the Western Front is the most brutal and harrowing in showing the horrors of World War I. The movie has well-crafted technical assets, but the personalities of the characters are underdeveloped."
All Quiet on the Western Front,Peter Travers,FALSE,ABC News,fresh,,"Mar 10, 2023","Oscar time is ideal for catching up with Edward Berger’s ferocious anti-war epic about young German soldiers dying in WW1 trenches. The German-language film boasts a wow nine nominations, including Best Picture, and tragically its message never gets old."
X,Matt Brunson,FALSE,Film Frenzy,fresh, 3.5/4 ,"Mar 13, 2023","Separately, X and Pearl might not have made my 10 Best of 2022 list; together, how could they not?"
X,Steph Cozza,FALSE,Cinema Vixens,fresh, 5/5 ,"Jan 6, 2023",A gruesome slasher reminiscent of classic horror.
X,Louisa Moore,FALSE,Screen Zealots,fresh,,"Jan 4, 2023","Ends with a wholly satisfying finale and avoids the pitfalls of frustrating the audience, as so many independent horror films seem to do. It’s a slower burn for sure, but what a bloody, gory, rewarding ride."
X,Jared Mobarak,FALSE,"Hey, Have You Seen ...?",fresh, 6/10 ,"Dec 30, 2022","I can give X the benefit of the doubt [with hindsight], accepting it as an entrypoint into a much larger world regardless of how incomplete it ultimately feels on its own."
X,Samuel Leggett Jr.,FALSE,JVS Media & Productions/Team JVS,fresh, A- ,"Dec 26, 2022","X was true to its name, explicit sexual scenes, horrify scenarios & every more on the stories backdrop. But as a horror film Ti West nails it with his touch on horror story telling and worst case scenario perspective for every character it’s a insane ride"
